"Place","Datetime","Fire","PM2.5","PM10","NO","NO2","NOx","CO","CO2","O2","Temper","Humid"
"Ho Chi Minh City","6/18/2023 17:00","Non","23.35","22.63","16.24","21.35","29.56","24.4","18.16","87.11","22.1","23.82"
"Ho Chi Minh City","6/18/2023 18:00","Non","29.78","24.37","24.4","19.33","24.29","21.74","26.03","64.89","25.45","22.08"
"Ho Chi Minh City","6/18/2023 19:00","Non","28.54","17.99","26.32","20.84","26.73","19.34","21.79","96.1","27.86","20.8"
"Ho Chi Minh City","6/18/2023 20:00","Non","39.91","20.3","20.3","23.97","16.64","27.84","19.19","82.47","23.37","22.77"
"Ho Chi Minh City","6/18/2023 21:00","Non","34.37","10.65","29.41","26.65","18.67","12.55","24.5","87.54","27.41","21.28"
"Ho Chi Minh City","6/18/2023 22:00","Fire","99.37","84.83","63.31","88.78","70.7","147.13","89.65","16.05","98.63","89.16"
"Ho Chi Minh City","6/18/2023 23:00","Non","24.28","28.01","10.56","24.48","22.47","27.39","18.24","76.42","23.81","21.41"
"Ho Chi Minh City","6/19/2023 0:00","Non","23.44","27.2","10.06","16.12","23.02","13.96","22.14","89.79","23.6","21.25"
"Ho Chi Minh City","6/19/2023 1:00","Non","34.16","28.17","28.48","24.86","24.92","14.91","19.17","98.42","24.9","24.39"
"Ho Chi Minh City","6/19/2023 2:00","Non","30.31","15.42","25.81","19.01","18.41","21.15","24.33","88.23","31.73","29.35"
"Ho Chi Minh City","6/19/2023 3:00","Fire","68.69","85.86","63.69","87.07","68.33","92.72","147.67","11.76","170.28","88.61"
"Ho Chi Minh City","6/19/2023 3:05","Fire","87.27","89.36","74.32","97.34","62.45","71.05","145.16","19.29","163.2","67.2"
"Ho Chi Minh City","6/19/2023 3:10","Fire","84.62","72.33","77.44","72.56","69.87","70.84","129.56","5.47","192.9","82.97"
"Ho Chi Minh City","6/19/2023 3:15","Fire","69.5","57.55","73.27","91.53","82.74","135.12","121.14","18.23","113.74","65.82"
"Ho Chi Minh City","6/19/2023 3:20","Fire","89.47","56.07","77.42","74.96","63.47","130.64","142.84","18.78","104.26","73.26"
"Ho Chi Minh City","6/19/2023 3:25","Fire","87.16","87.84","60.46","86.76","60.08","86.87","131.13","16.82","152.82","90.38"
"Ho Chi Minh City","6/19/2023 3:30","Fire","70.36","71.53","64.16","81.12","75.26","85.77","112.16","14.02","159.25","67.82"
"Ho Chi Minh City","6/19/2023 3:35","Fire","99.88","56.61","86.72","78.61","89.78","93.95","149.98","6.19","118.02","75.74"
"Ho Chi Minh City","6/19/2023 4:00","Non","33.07","28.36","10.9","27.07","27.7","22.41","14","94.02","21.49","22.85"
"Ho Chi Minh City","6/19/2023 5:00","Fire","68.28","85.34","76.2","75.71","60.99","88.07","93.84","18.3","135.55","75.73"
"Ho Chi Minh City","6/19/2023 5:05","Fire","78.77","64.17","98.27","97.39","71.59","71.99","88.71","13.91","116.88","65.61"
"Ho Chi Minh City","6/19/2023 5:10","Fire","79.29","73.03","75.33","68.01","94.79","73.22","149.71","5.56","128.48","87.75"
"Ho Chi Minh City","6/19/2023 6:00","Non","21.35","12.25","12.6","23.66","18.14","13.79","18.89","97.89","31.83","29.42"
"Ho Chi Minh City","6/19/2023 7:00","Non","33.19","22.74","28.93","28.59","25.92","21.43","27.11","80.17","21.47","22.11"
"Ho Chi Minh City","6/19/2023 8:00","Fire","93.33","63.23","82.94","97.31","74.81","133.79","70.88","11.9","149.35","92.96"
"Ho Chi Minh City","6/19/2023 8:05","Fire","81.08","70.4","63.15","64.1","89.88","81.71","147.55","10.3","168.1","85.87"
"Ho Chi Minh City","6/19/2023 9:00","Non","22.48","14","28.28","18.29","20.63","19.78","29.98","78.74","23.28","25.82"
"Ho Chi Minh City","6/19/2023 10:00","Fire","71.1","71.32","84.53","84.61","85.51","135.51","111.32","6.6","172.33","79.27"
"Ho Chi Minh City","6/19/2023 10:05","Fire","67.09","74.9","62.83","100","92.67","72.84","85.22","13.3","100.74","72.21"
"Ho Chi Minh City","6/19/2023 10:10","Fire","75.92","83.35","81.94","87.16","91.83","117.15","114.31","19.17","126.49","93.11"
"Ho Chi Minh City","6/19/2023 10:15","Fire","99.18","86.7","74.99","71.98","87.79","125.73","131.37","14.11","93.37","72.58"
"Ho Chi Minh City","6/19/2023 11:00","Non","24.49","17.94","18.69","25.49","19.38","27.38","15.13","66.22","21.42","29.87"
"Ho Chi Minh City","6/19/2023 12:00","Fire","66.82","64.78","78.63","69.64","69.38","77.45","143.86","18.17","147.72","98.44"
"Ho Chi Minh City","6/19/2023 13:00","Non","36.49","21.24","26.44","25.58","18.26","17.39","28.64","83.09","28.71","29.72"
"Ho Chi Minh City","6/19/2023 14:00","Fire","91.12","72.4","99.68","79.87","80.82","102.07","143.18","10.7","120.8","66.13"
"Ho Chi Minh City","6/19/2023 15:00","Non","34.63","13.51","17.33","18.18","24.48","29.31","28.92","88.48","24.43","21.09"
"Ho Chi Minh City","6/19/2023 16:00","Non","25.46","24.81","22.22","18.59","25.05","23.89","25.59","85.94","30.17","28.82"
"Ho Chi Minh City","6/19/2023 17:00","Fire","73.52","70.73","87.78","93.4","67.06","117.69","78.83","11.78","161.72","91.92"
"Ho Chi Minh City","6/19/2023 17:05","Fire","88.23","80.08","74.22","78.6","60.83","109.31","82.09","10.23","131.9","84.39"
"Ho Chi Minh City","6/19/2023 18:00","Non","34.89","10.02","21.96","18.42","17.6","29.25","17.18","76.89","28.05","21.59"
"Ho Chi Minh City","6/19/2023 19:00","Non","23.91","15.45","17.03","20.35","23.91","25.89","11.1","62.7","29.89","21.12"
"Ho Chi Minh City","6/19/2023 20:00","Fire","96.23","69.85","58.71","67.67","83.72","135.05","97.55","9.13","183.58","87.5"
"Ho Chi Minh City","6/19/2023 21:00","Non","31.19","12.49","29.65","25.42","17.59","10.75","15.99","85.15","30.54","22.95"
"Ho Chi Minh City","6/19/2023 22:00","Fire","67.71","63.16","72.53","65.12","76.58","144.38","123.35","10.99","150.68","87.21"
"Ho Chi Minh City","6/19/2023 22:05","Fire","92.63","89.1","55.01","74.25","86.25","75.37","130.36","11.2","143.94","96.68"
"Ho Chi Minh City","6/19/2023 23:00","Non","26.12","11.3","26.98","15.57","26.94","27.21","28.38","99.99","30.45","24.05"
"Ho Chi Minh City","6/20/2023 0:00","Fire","92.21","84.83","87.96","76.5","88.34","134.16","88.14","7.29","120.69","80.52"
"Ho Chi Minh City","6/20/2023 0:05","Fire","72.5","82.94","66.14","84.94","71.45","105.46","148.15","16.29","131.43","88.62"
"Ho Chi Minh City","6/20/2023 0:10","Fire","90.71","57.43","70.07","63.79","63.76","129.06","70.61","7.07","194","76.42"
"Ho Chi Minh City","6/20/2023 0:15","Fire","92.39","81.16","80.71","99.54","65.99","70.52","77.13","15.39","140.21","78.54"
"Ho Chi Minh City","6/20/2023 0:20","Fire","81.19","81.03","75.69","63.04","69.85","97.34","102.85","7.25","122.72","84.35"
"Ho Chi Minh City","6/20/2023 0:25","Fire","98.32","60.21","87.13","74.95","94.1","102.07","92.71","19.28","109.15","91.45"
"Ho Chi Minh City","6/20/2023 1:00","Non","25.86","16.3","11.17","26.51","15.05","16.66","12.35","75.34","32.21","29.27"
"Ho Chi Minh City","6/20/2023 2:00","Fire","83.35","63.68","59.8","76.66","76.64","122.22","105.24","9.94","166.04","92.06"
"Ho Chi Minh City","6/20/2023 2:05","Fire","87.83","67.25","60.08","69.58","72.89","137.34","134.29","15.95","177.53","69.69"
"Ho Chi Minh City","6/20/2023 3:00","Non","23.08","27.65","24.55","24.16","26.1","19.69","15.87","96","27.09","23.9"
"Ho Chi Minh City","6/20/2023 4:00","Non","23.32","21.44","17.56","27.3","24.76","18.55","13.42","68.6","30.26","25.05"
"Ho Chi Minh City","6/20/2023 5:00","Non","34.22","25.59","19.31","26.09","24.63","11.04","24.3","69.28","29.46","29.41"
"Ho Chi Minh City","6/20/2023 6:00","Fire","87.5","83.68","87.28","60.42","99.03","86.7","145.05","15.37","127.97","84.65"
"Ho Chi Minh City","6/20/2023 7:00","Non","25.31","15.5","24.17","24.92","29.93","13.21","29.8","60.24","26.17","25.6"
"Ho Chi Minh City","6/20/2023 8:00","Non","20.73","24.69","12.97","21.93","17.44","10.07","17.16","81.31","21.55","28.89"
"Ho Chi Minh City","6/20/2023 9:00","Non","23.35","25.05","10.98","21.97","24.81","25.85","27.15","74.55","21.19","27.71"
"Ho Chi Minh City","6/20/2023 10:00","Fire","82.44","59.56","84.33","69.15","91.09","135.34","81.96","14.03","195.75","94.31"
"Ho Chi Minh City","6/20/2023 11:00","Non","28.55","14.49","28.44","16.49","17.59","16.6","13.9","70.76","30.5","27.77"
"Ho Chi Minh City","6/20/2023 12:00","Fire","71.09","64.75","68.48","82.62","79.59","107.65","119.83","17.57","191.24","66.12"
"Ho Chi Minh City","6/20/2023 13:00","Non","36.6","11.78","14.68","22.01","25.53","11.95","25.27","96.73","21.37","21.06"
"Ho Chi Minh City","6/20/2023 14:00","Non","23.48","10.75","12.75","25.08","19.26","14.39","14.37","73.48","27.91","26.75"
"Ho Chi Minh City","6/20/2023 15:00","Fire","69.56","78.38","95.92","97.94","85.11","71.77","117","19.6","126.05","83.9"
"Ho Chi Minh City","6/20/2023 16:00","Non","20.61","12.11","25.87","23.87","29.44","25.99","13.85","80.79","23.04","28.28"
"Ho Chi Minh City","6/20/2023 17:00","Fire","95.61","59.07","70.61","94.74","61.05","106.26","121.37","19.04","126.15","71.87"
"Ho Chi Minh City","6/20/2023 17:05","Fire","68.79","77.12","85.01","86.98","88.14","149.1","140.66","6.05","192.83","66.69"
"Ho Chi Minh City","6/20/2023 17:10","Fire","77.45","87.85","97.91","72.21","70.6","107.82","71.49","15.6","198.79","68.72"
"Ho Chi Minh City","6/20/2023 18:00","Non","33.52","11.71","26.64","16.52","24.37","17.74","19.97","63.76","21.26","23.71"
"Ho Chi Minh City","6/20/2023 19:00","Non","39.52","25.83","13.23","26.79","28.32","21.8","13.05","61.15","32.19","22.95"
"Ho Chi Minh City","6/20/2023 20:00","Fire","94.98","84.94","99.7","98.8","61.52","145.29","90.2","5.81","132.74","75.09"
"Ho Chi Minh City","6/20/2023 21:00","Non","28.16","14.64","10.05","28.35","15.62","25.24","14.62","94.17","31.21","25.8"
"Ho Chi Minh City","6/20/2023 22:00","Fire","73.67","79.14","68.47","87.93","82.65","85.42","90.11","11.24","189.09","95.76"
"Ho Chi Minh City","6/20/2023 23:00","Non","31.54","20.73","20.33","24.48","16.61","28.53","11.83","94.97","23.82","28.29"
"Ho Chi Minh City","6/21/2023 0:00","Fire","77.22","73.32","74.99","72.22","90.08","131.93","114.66","15.95","130.97","65.92"
"Ho Chi Minh City","6/21/2023 0:05","Fire","65.6","83.21","90.28","90.05","64.59","112.77","90.15","15.38","163.29","96.61"
"Ho Chi Minh City","6/21/2023 1:00","Non","24.87","29.67","19.52","18","23.74","28.07","25.82","84.84","25.58","24.65"
"Ho Chi Minh City","6/21/2023 2:00","Fire","92.29","80.05","82.85","90.18","91.04","141.65","122.39","8.7","120.64","96.45"
"Ho Chi Minh City","6/21/2023 2:05","Fire","80.94","89.3","76.7","80.29","71.21","80.1","99.42","12.14","133.62","82.41"
"Ho Chi Minh City","6/21/2023 2:10","Fire","81.35","86.49","90.13","90.91","65.27","103.55","148.33","7.05","157.28","80.29"
"Ho Chi Minh City","6/21/2023 2:15","Fire","68.2","84.42","80.93","67.25","75.54","135.32","115.52","19.58","127.09","88.34"
"Ho Chi Minh City","6/21/2023 2:20","Fire","85.16","83.13","60.29","74.08","98.77","90.78","147.04","13.47","104.33","77.36"
"Ho Chi Minh City","6/21/2023 3:00","Non","37.29","18.65","14.01","18.89","19.92","15.29","27.97","79.66","29.03","28.55"
"Ho Chi Minh City","6/21/2023 4:00","Fire","82.8","57.96","90.87","97.15","82.09","90.04","145.04","7.95","148.78","92.59"
"Ho Chi Minh City","6/21/2023 4:05","Fire","95.57","86.59","75.38","95.84","67","123.92","143.17","14.99","115.88","75"
"Ho Chi Minh City","6/21/2023 4:10","Fire","78.99","79.55","55.63","95.37","72.85","132.45","124.63","14.24","118.91","99.32"
"Ho Chi Minh City","6/21/2023 5:00","Non","38.14","20.71","24.7","23.28","20.42","21.32","17.58","81.53","28.37","24.76"
"Ho Chi Minh City","6/21/2023 6:00","Fire","77.35","82.8","57.12","64.74","65.66","123.37","148.31","7.58","111.51","74.57"
"Ho Chi Minh City","6/21/2023 7:00","Non","28.03","24.54","15.4","29.26","29.69","17.04","29.76","87.16","26.89","27.04"
"Ho Chi Minh City","6/21/2023 8:00","Fire","67.87","87.03","59.35","89.38","96.38","142.27","136.69","11.12","107.21","96.65"
"Ho Chi Minh City","6/21/2023 8:05","Fire","91.31","69.5","68.48","63.15","97.18","124.23","101.04","5.47","129.52","91.53"
"Ho Chi Minh City","6/21/2023 9:00","Non","34.68","28.04","11.01","23.44","23.03","20.38","14.18","77.66","32.55","28.37"
"Ho Chi Minh City","6/21/2023 10:00","Non","24.9","17.27","26.58","22.9","16.77","21.18","12.82","67.33","23.29","24.91"
"Ho Chi Minh City","6/21/2023 11:00","Non","36.23","27.19","29.66","25","23.29","23.87","28.64","80.46","26.46","22.79"
"Ho Chi Minh City","6/21/2023 12:00","Non","31.73","27.06","21.62","25.85","28.05","22.94","15.92","92.68","30.2","28.82"
"Ho Chi Minh City","6/21/2023 13:00","Non","30.53","27.81","18.91","29.89","21.68","12.05","24.65","62.43","26.71","27.24"
"Ho Chi Minh City","6/21/2023 14:00","Non","24.6","22.67","12.91","16.5","26.23","13.97","13.87","87.63","28.09","29.67"
"Ho Chi Minh City","6/21/2023 15:00","Non","22.14","24.04","15.98","24.69","25.55","28.38","11.94","77.76","28.61","29.05"
"Ho Chi Minh City","6/21/2023 16:00","Fire","93.39","72.37","60.44","99.25","76.41","133.03","82.35","9.46","119.86","69.89"
"Ho Chi Minh City","6/21/2023 17:00","Non","30.62","21.85","22.92","21.4","18.34","20.92","17.5","89.15","29.23","27.1"
"Ho Chi Minh City","6/21/2023 18:00","Fire","79.9","72.87","57.21","71.94","86.24","115.69","90.8","16.92","117.6","66.52"
"Ho Chi Minh City","6/21/2023 19:00","Non","29.91","12.64","21.88","27.34","29.82","28.76","25.86","66.38","24.84","26.28"
"Ho Chi Minh City","6/21/2023 20:00","Fire","69.58","56.55","65.26","97.16","66.29","82.41","83.94","7.59","157.34","83.4"
"Ho Chi Minh City","6/21/2023 21:00","Non","30.32","22.54","17.15","29.55","15.76","18.82","19.2","81.8","21.66","23.04"
"Ho Chi Minh City","6/21/2023 22:00","Non","22.88","18.64","22.72","29.61","28.41","28.87","21.43","74.09","24.72","22.92"
"Ho Chi Minh City","6/21/2023 23:00","Fire","70.72","86.87","58.98","99.8","64.86","123","71.54","18.38","165.61","98.2"
"Ho Chi Minh City","6/22/2023 0:00","Non","28.98","15.09","28.38","28.81","23.76","23.75","28.93","70.38","22.26","21.79"
"Ho Chi Minh City","6/22/2023 1:00","Fire","86.27","75.5","72.81","94.27","60.2","108.65","127.04","10.8","154.18","84.86"
"Ho Chi Minh City","6/22/2023 2:00","Non","23.09","27.08","21.39","25.49","19.02","15.61","12.11","92.01","29.15","22.32"
"Ho Chi Minh City","6/22/2023 3:00","Fire","76.84","78.1","71.04","75.27","70.59","121.09","113.56","11.01","194.97","92.91"
"Ho Chi Minh City","6/22/2023 3:05","Fire","87.95","78.52","73.58","76.09","65.07","104.66","100","6.59","99.77","74.66"
"Ho Chi Minh City","6/22/2023 3:10","Fire","89.62","88.54","69.62","66.53","61.11","103.09","140.39","7.96","97.99","85.03"
"Ho Chi Minh City","6/22/2023 4:00","Non","27.05","15.23","12.96","26.77","21.06","14.3","26.42","66.34","27.97","27.86"
"Ho Chi Minh City","6/22/2023 5:00","Fire","91.9","77.47","95.1","78.48","79.59","131.94","108.97","13.01","198.37","93.08"
"Ho Chi Minh City","6/22/2023 6:00","Non","29.17","25.68","25.97","26.93","24.56","26.15","25.51","78.53","28.88","23.35"
"Ho Chi Minh City","6/22/2023 7:00","Non","37.57","28.78","14.5","23.33","22.45","19.72","24.57","62.24","32.25","28.6"
"Ho Chi Minh City","6/22/2023 8:00","Non","24.27","28.9","11.49","27.21","16.56","18.35","20.67","95.92","31.17","21.58"
"Ho Chi Minh City","6/22/2023 9:00","Non","38.46","16.92","13.78","23.71","19.49","12.07","15.2","86.83","25.48","23.92"
"Ho Chi Minh City","6/22/2023 10:00","Non","27.78","20.06","27.38","25.63","21.15","28.46","12.77","76.64","26.7","22.71"
"Ho Chi Minh City","6/22/2023 11:00","Non","34.84","13.61","20.49","15.73","25.3","22.55","27.28","71.1","21.82","27.86"
"Ho Chi Minh City","6/22/2023 12:00","Non","39.26","13.33","21.72","15.8","23.58","26.78","11.79","94.7","21.65","25.05"
"Ho Chi Minh City","6/22/2023 13:00","Non","26.7","28.23","15.34","28.94","21.11","19.65","16.46","86.83","31.26","24.78"
"Ho Chi Minh City","6/22/2023 14:00","Fire","67.76","57.15","99.04","97.4","91.95","115.54","131.45","11.99","163.67","81.87"
"Ho Chi Minh City","6/22/2023 14:05","Fire","98.28","55.55","83.06","79.78","72","118.1","71.05","10.54","98.64","70.46"
"Ho Chi Minh City","6/22/2023 14:10","Fire","80.08","73.96","55.62","77.87","60.36","78.66","112.97","19.6","194.5","80.18"
"Ho Chi Minh City","6/22/2023 14:15","Fire","66.38","64.5","86.79","73.5","61.18","118.09","129.89","10.09","163.81","66.25"
"Ho Chi Minh City","6/22/2023 15:00","Non","39.7","28.62","29.38","26.8","20.91","14.6","25.86","84.08","21.67","21.19"
"Ho Chi Minh City","6/22/2023 16:00","Fire","91.42","60.38","98.33","96.6","85.06","105.6","83.83","17.03","156.43","75.38"
"Ho Chi Minh City","6/22/2023 16:05","Fire","86.01","79.21","92.22","64.91","97.99","82.9","115.59","15.36","181.48","86.6"
"Ho Chi Minh City","6/22/2023 16:10","Fire","68.95","73.19","80.12","72.23","87.89","121.7","108.37","7.96","103.42","69.57"
"Ho Chi Minh City","6/22/2023 16:15","Fire","68.5","57.93","71.45","86.72","67.29","110.68","117.07","13.57","94.74","67.96"
"Ho Chi Minh City","6/22/2023 17:00","Non","26.4","16.33","14.07","16.68","23.2","24.93","22.85","69.1","21.22","29.39"
"Ho Chi Minh City","6/22/2023 18:00","Fire","86.14","55.97","58.62","77.41","79.99","145.17","91.14","15.74","98.64","78.07"
"Ho Chi Minh City","6/22/2023 18:05","Fire","78.58","67.81","55.3","62.31","98.83","84.5","135.32","13.31","189.69","75.4"
"Ho Chi Minh City","6/22/2023 18:10","Fire","95.13","62.41","81.24","98.43","65.74","73.95","78.36","11.23","195.26","72.29"
"Ho Chi Minh City","6/22/2023 19:00","Non","28.79","11.23","24.12","25.03","16","10.3","20.09","99.09","21.61","28.16"
"Ho Chi Minh City","6/22/2023 20:00","Non","32.41","21.93","15.43","24.36","23.35","25.96","25.25","89.49","30.12","24.22"
"Ho Chi Minh City","6/22/2023 21:00","Fire","98.01","81.31","60.3","91.59","82.14","112.75","130.25","16.74","166.12","79.38"
"Ho Chi Minh City","6/22/2023 22:00","Non","35.27","22.34","26.61","27.02","15.88","24.05","17.9","91.56","29.61","24.89"
"Ho Chi Minh City","6/22/2023 23:00","Fire","73.67","76.68","68.2","83.99","83.33","148.43","102.7","14.27","118.59","74.08"
"Ho Chi Minh City","6/23/2023 0:00","Non","22.07","19.84","23.27","23.14","20.75","12.54","23.24","60.1","21.52","26.73"
"Ho Chi Minh City","6/23/2023 1:00","Fire","65.65","65.44","58.48","62.12","89.66","83.81","126.24","13.48","122.6","93.51"
"Ho Chi Minh City","6/23/2023 1:05","Fire","88.55","76.47","59.95","78.68","73.34","122.02","141.38","19.79","91.14","92.54"
"Ho Chi Minh City","6/23/2023 1:10","Fire","90.22","72.79","75.25","87.94","66.52","149.31","111.62","9.7","96.21","96.36"
"Ho Chi Minh City","6/23/2023 1:15","Fire","67.02","68.96","95.69","71.34","70.84","77.37","82.04","5.61","91.96","89.4"
"Ho Chi Minh City","6/23/2023 1:20","Fire","82.06","61.88","78.05","72.26","92.92","104.97","146.65","9.8","177.88","75.9"
"Ho Chi Minh City","6/23/2023 2:00","Non","22.83","20.11","14.71","27.36","23.19","15.4","28.07","99.93","31.46","26.07"
"Ho Chi Minh City","6/23/2023 3:00","Fire","85.63","70.1","55.42","87.27","89.19","94.09","95.43","14.06","110.1","69.33"
"Ho Chi Minh City","6/23/2023 3:05","Fire","98.31","57.04","69.44","76.23","89.26","80.58","95.51","11.63","154.87","72.8"
"Ho Chi Minh City","6/23/2023 3:10","Fire","99.52","84.75","67.98","93.17","71.59","115.87","141.57","5.83","175.33","91.34"
"Ho Chi Minh City","6/23/2023 3:15","Fire","87.13","88.08","79.01","77.06","94.55","129.91","71.81","17.58","192.48","83.25"
"Ho Chi Minh City","6/23/2023 4:00","Non","26.77","21.81","27.75","27.56","26.11","16.94","17.09","77.03","31.96","28.1"
"Ho Chi Minh City","6/23/2023 5:00","Fire","79.97","84.03","78.47","95.05","80.71","71.83","88.99","11.62","115.76","69.39"
"Ho Chi Minh City","6/23/2023 5:05","Fire","68.41","88.2","91.11","90.12","65.41","101.11","133","16.46","128.72","86.82"
"Ho Chi Minh City","6/23/2023 6:00","Non","20.08","27.78","20.91","25.44","24.35","20.63","19.23","99.21","26.1","27.58"
"Ho Chi Minh City","6/23/2023 7:00","Fire","89.66","63.48","69.92","65.25","63.81","141.08","118.9","9.94","121.6","87.47"
"Ho Chi Minh City","6/23/2023 7:05","Fire","87.33","87.48","87.2","94.33","81.94","115.24","76.26","19.11","165.84","96.43"
"Ho Chi Minh City","6/23/2023 7:10","Fire","87.77","61.4","77.15","69.45","71.79","97.45","125.93","11.17","136.5","68.4"
"Ho Chi Minh City","6/23/2023 7:15","Fire","97.25","78.05","57.62","89.16","66.46","142.54","122.71","8.86","117.5","98.3"
"Ho Chi Minh City","6/23/2023 8:00","Non","38.05","17.42","23.34","20.09","20.94","22.14","12.81","84.29","26.87","21.18"
"Ho Chi Minh City","6/23/2023 9:00","Non","21.5","22.48","21.42","24.99","26.1","21.46","10.52","80.25","22.99","21.45"
"Ho Chi Minh City","6/23/2023 10:00","Fire","73.64","70.06","81.89","93.54","96.2","73.85","85.85","15.97","135.77","68.1"
"Ho Chi Minh City","6/23/2023 10:05","Fire","97.07","89.06","85.23","80.72","66.07","89.35","109.43","17.51","193.76","78.11"
"Ho Chi Minh City","6/23/2023 10:10","Fire","84.12","68.32","90.45","97.13","83.06","75.92","111.79","19.31","90.83","83.33"
"Ho Chi Minh City","6/23/2023 11:00","Non","30.47","25.47","12.96","21.43","27.6","23.68","14","91.19","28.01","24.81"
"Ho Chi Minh City","6/23/2023 12:00","Non","38.25","22.76","16.93","21","18.72","24.99","11.86","95.63","31.98","26.09"
"Ho Chi Minh City","6/23/2023 13:00","Fire","98.74","64.26","69.11","85.43","97.91","132.43","142.27","14.09","138.81","99.29"
"Ho Chi Minh City","6/23/2023 14:00","Non","29.35","23.95","24.82","18.29","26.21","17.69","25.44","74.04","30.71","23.4"
"Ho Chi Minh City","6/23/2023 15:00","Fire","82.37","63.41","68.75","75.17","89.01","75.79","130.43","16.68","117.26","81.33"
"Ho Chi Minh City","6/23/2023 15:05","Fire","97.17","87.78","75.57","87.52","66.6","109.91","115.01","19.05","90.27","97.87"
"Ho Chi Minh City","6/23/2023 16:00","Non","32.57","16.39","21.62","19.65","16.24","22.56","16.48","87.82","21.97","28.15"
"Ho Chi Minh City","6/23/2023 17:00","Fire","67.13","78.47","64.84","85.75","64.54","99.96","120.87","18.75","116.48","80.93"
"Ho Chi Minh City","6/23/2023 17:05","Fire","79.98","87.82","98.16","74.38","79.38","84.59","86.91","8.36","130.67","85.56"
"Ho Chi Minh City","6/23/2023 17:10","Fire","97.34","72.32","70.42","95.42","97.75","91.65","130.44","16.33","93.55","79.09"
"Ho Chi Minh City","6/23/2023 17:15","Fire","66.54","85.13","78.51","63.91","60.75","88.41","75.64","10.62","99.92","87.39"
"Ho Chi Minh City","6/23/2023 17:20","Fire","95","82.5","64.28","92.39","72.91","79.64","111.15","7.75","191.41","87.92"
"Ho Chi Minh City","6/23/2023 18:00","Non","32.09","23.37","28.11","24.42","20.41","20.18","16.61","77.22","22.96","21.05"
"Ho Chi Minh City","6/23/2023 19:00","Fire","84.87","86.23","63.9","95.28","84.37","89.23","121.91","6.26","152.29","66.18"
"Ho Chi Minh City","6/23/2023 19:05","Fire","89.76","81.4","89.68","85.92","69.99","104.67","98.54","12.4","128.56","66.2"
"Ho Chi Minh City","6/23/2023 19:10","Fire","68","67.34","90.7","80.21","70.39","145.09","75.66","17.9","107.06","89.91"
